Source,Target,Weight
AMRC,APG,0.668
AMRC,APTS,0.855
AMRX,AMWL,0.695
AMRX,ANF,0.831
AMRX,APLE,0.743
AMRX,APRN,0.734
AMRX,APTS,0.696
AMRX,APTV,0.831
AMRX,APT,0.882
AMRX,AQUA,0.822
AMRX,AR,0.714
AMRX,ARC,0.665
AMRX,ARGO,0.754
AMRX,ARI,0.848
AMRX,ARLO,0.85
AMRX,ARMK,0.718
AMRX,AROC,0.858
AMRX,ARR,0.952
AMRX,ASB,0.756
AMRX,ASC,0.597
AMRX,ASIX,0.61
AMRX,ASPL,0.854
AMRX,ATCO,0.821
AMRX,AVD,0.877
AMT,ANET,0.953
AMT,ANTM,0.764
AMT,APH,0.699
AMT,AQN,0.822
AMT,AQNA,0.816
AMT,AQNB,0.899
AMT,ARE,0.985
AMT,ARES,0.782
AMT,ARL,0.746
AMT,ASAN,0.811
AMT,ASG,0.857
AMT,ASR,0.626
AMT,ASX,0.735
AMT,ATEN,0.939
AMT,ATO,0.837
AMT,ATTO,0.905
AMT,AU,0.975
AMT,AVB,0.975
AMT,AVK,0.939
AMWL,ANF,0.866
AMWL,APLE,0.743
AMWL,APRN,0.907
AMWL,APT,0.757
AMWL,AQUA,0.919
AMWL,AR,0.97
AMWL,ARC,0.688
AMWL,ARGO,0.936
AMWL,ARI,0.924
AMWL,ARLO,0.932
AMWL,ARMK,0.835
AMWL,ARNC,0.739
AMWL,AROC,0.859
AMWL,ARR,0.766
AMWL,ARW,0.627
AMWL,ASAI,0.837
AMWL,ASB,0.903
AMWL,ASGN,0.939
AMWL,ASH,0.666
AMWL,ASIX,0.916
AMWL,ATC,0.624
AMWL,ATCO,0.716
AMWL,ATHM,0.87
AMWL,ATKR,0.9
AMWL,AVA,0.642
AMWL,AVD,0.921
AMX,ANF,0.703
AMX,APRN,0.717
AMX,APSG,0.653
AMX,APTV,0.596
AMX,APT,0.712
AMX,AQUA,0.644
AMX,ARC,0.643
AMX,ARLO,0.587
AMX,ARMK,0.74
AMX,ASA,0.711
AMX,ASC,0.961
AMX,ASPL,0.756
AMX,ATA,0.676
AMX,ATC,0.782
AMX,ATCO,0.771
AMX,AVAL,0.829
AN,ANTM,0.911
AN,AONE,0.591
AN,AP,0.734
AN,APAM,0.614
AN,APD,0.728
AN,APG,0.797
AN,APH,0.928
AN,APO,0.845
AN,AQN,0.781
AN,AQNA,0.655
AN,ARCH,0.733
AN,ARCO,0.71
AN,ARD,0.663
AN,ARES,0.744
AN,ASAQ,0.978
AN,ASGI,0.681
AN,ASPN,0.944
AN,ASR,0.687
AN,ASX,0.639
AN,ATEN,0.733
AN,ATGE,0.782
AN,ATH,0.829
AN,ATO,0.814
AN,AVAN,0.733
AN,AVB,0.601
ANET,ANTM,0.622
ANET,AQN,0.82
ANET,AQNA,0.854
ANET,AQNB,0.863
ANET,ARDC,0.615
ANET,ARE,0.982
ANET,ARES,0.759
ANET,ARL,0.658
ANET,ASAN,0.813
ANET,ASG,0.742
ANET,ASX,0.717
ANET,ATEN,0.902
ANET,ATO,0.727
ANET,ATTO,0.987
ANET,AU,0.954
ANET,AVB,0.932
ANET,AVK,0.965
ANF,APLE,0.898
ANF,APRN,0.972
ANF,APTV,0.8
ANF,APT,0.939
ANF,AQUA,0.993
ANF,AR,0.931
ANF,ARC,0.884
ANF,ARGO,0.913
ANF,ARI,0.984
ANF,ARLO,0.985
ANF,ARMK,0.977
ANF,ARNC,0.757
ANF,AROC,0.909
ANF,ARR,0.94
ANF,ASA,0.62
ANF,ASAI,0.778
ANF,ASB,0.918
ANF,ASC,0.82
ANF,ASGN,0.667
ANF,ASIX,0.818
ANF,ASPL,0.849
ANF,ATC,0.668
ANF,ATCO,0.967
ANF,ATHM,0.795
ANF,ATKR,0.668
ANF,AVD,0.897
ANTM,APD,0.708
ANTM,APH,0.994
ANTM,APO,0.823
ANTM,AQN,0.816
ANTM,AQNA,0.698
ANTM,AQNB,0.651
ANTM,ARCH,0.619
ANTM,ARCO,0.721
ANTM,ARE,0.745
ANTM,ARES,0.886
ANTM,ASAN,0.772
ANTM,ASAQ,0.828
ANTM,ASGI,0.659
ANTM,ASPN,0.835
ANTM,ASR,0.823
ANTM,ASX,0.82
ANTM,ATEN,0.892
ANTM,ATGE,0.811
ANTM,ATH,0.813
ANTM,ATO,0.882
ANTM,AU,0.814
ANTM,AUY,0.724
ANTM,AVAN,0.838
ANTM,AVB,0.79
ANTM,AVK,0.722
AOD,AON,0.795
AOD,APD,0.755
AOD,ARCH,0.632
AOD,ASR,0.779
AOD,ATI,0.721
AOD,ATMR,0.766
AON,AONE,0.647
AON,AP,0.626
AON,APD,0.879
AON,ARCH,0.915
AON,ARNC,0.672
AON,ARW,0.738
AON,ASH,0.724
AON,ASR,0.681
AON,ATI,0.618
AON,ATMR,0.852
AON,ATUS,0.7
AONE,AP,0.692
AONE,APG,0.683
AONE,APLE,0.737
AONE,APO,0.589
AONE,APTV,0.755
AONE,ARC,0.734
AONE,ARCH,0.732
AONE,ARCO,0.737
AONE,ARNC,0.648
AONE,AROC,0.606
AONE,ARW,0.702
AONE,ASA,0.8
AONE,ASAQ,0.596
AONE,ASGI,0.713
AONE,ASH,0.59
AONE,ATH,0.62
AONE,ATUS,0.917
AONE,AVAL,0.639
AOS,ASGN,0.76
AOS,ASH,0.677
AOS,ATHM,0.59
AOS,ATI,0.796
AOS,ATKR,0.754
AOS,ATMR,0.796
AOS,ATR,0.977
AOS,AVA,0.66
AP,APAM,0.621
AP,APD,0.753
AP,APG,0.67
AP,ARCH,0.843
AP,ARW,0.759
AP,ASAQ,0.754
AP,ASH,0.717
AP,ASPN,0.68
AP,ATI,0.676
AP,ATMR,0.593
AP,ATUS,0.887
APAM,AQN,0.753
