,Symbol,Name,Sector,Industry,market,CIK
0,AACG,ATA Creativity Global American Depositary Shares,Consumer Services,Other Consumer Services,nasdaq,0001420529
1,AACQ,Artius Acquisition Inc. Class A Common Stock,Basic Industries,Major Chemicals,nasdaq,0001802457
2,AACQU,Artius Acquisition Inc. Unit ,Basic Industries,Major Chemicals,nasdaq,0001802457
3,AACQW,Artius Acquisition Inc Warrant,Basic Industries,Major Chemicals,nasdaq,0001802457
4,AAL,American Airlines Group Inc. Common Stock,Transportation,Air Freight/Delivery Services,nasdaq,0000006201
5,AAME,Atlantic American Corporation Common Stock,Finance,Life Insurance,nasdaq,0000008177
6,AAOI,Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors,nasdaq,0001158114
7,AAON,AAON Inc. Common Stock,Capital Goods,Industrial Machinery/Components,nasdaq,0000824142
8,AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,nasdaq,0000320193
9,AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Transportation,Transportation Services,nasdaq,0001135185
10,ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,nasdaq,0000351569
11,ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Major Pharmaceuticals,nasdaq,0001703057
12,ABCM,Abcam plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001492074
13,ABEO,Abeona Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0000318306
14,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance,Business Services,nasdaq,0001833764
15,ABIO,ARCA biopharma Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,nasdaq,0000907654
16,ABMD,ABIOMED Inc. Common Stock,Health Care,Medical/Dental Instruments,nasdaq,0000815094
17,ABNB,Airbnb Inc. Class A Common Stock,Finance,Diversified Commercial Services,nasdaq,0001559720
18,ABST,Absolute Software Corporation Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0001071058
19,ABTX,Allegiance Bancshares Inc. Common Stock,Finance,Major Banks,nasdaq,0001642081
20,ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001447028
21,ACAC,Acies Acquisition Corp. Class A Ordinary Share,Technology,Computer Software: Prepackaged Software,nasdaq,0001823878
22,ACACU,Acies Acquisition Corp. Unit,Technology,Computer Software: Prepackaged Software,nasdaq,0001823878
23,ACAC,Acies Acquisition Corp. Warrant,Technology,Computer Software: Prepackaged Software,nasdaq,0001823878
24,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001070494
25,ACAHU,Atlantic Coastal Acquisition Corp. Unit,Finance,Business Services,nasdaq,0001836274
26,ACBI,Atlantic Capital Bancshares Inc. Common Stock,Finance,Major Banks,nasdaq,0001461755
27,ACCD,Accolade Inc. Common Stock,,,nasdaq,0001481646
28,ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care,Major Pharmaceuticals,nasdaq,0001069308
29,ACET,Adicet Bio Inc. Common Stock ,Health Care,Major Pharmaceuticals,nasdaq,0001720580
30,ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,Technology,Semiconductors,nasdaq,0001813658
31,ACEVU,ACE Convergence Acquisition Corp. Unit,Technology,Semiconductors,nasdaq,0001813658
32,ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology,Semiconductors,nasdaq,0001813658
33,ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers,nasdaq,0000947484
34,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers,nasdaq,0000947484
35,ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Finance,Property-Casualty Insurers,nasdaq,0000947484
36,ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities,nasdaq,0001520697
37,ACHL,Achilles Therapeutics plc American Depositary Shares,,,nasdaq,0001830749
38,ACHV,Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,nasdaq,0000949858
39,ACIU,AC Immune SA Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001651625
40,ACIW,ACI Worldwide Inc. Common Stock,Technology,Computer Software: Prepackaged Software,nasdaq,0000935036
41,ACKIT,Ackrell SPAC Partners I Co. Subunits,Finance,Business Services,nasdaq,0001790121
42,ACKIU,Ackrell SPAC Partners I Co. Units,Finance,Business Services,nasdaq,0001790121
43,ACKIW,Ackrell SPAC Partners I Co. Warrants,Finance,Business Services,nasdaq,0001790121
44,ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components,nasdaq,0001113232
45,ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,nasdaq,0001680062
46,ACNB,ACNB Corporation Common Stock,Finance,Major Banks,nasdaq,0000715579
47,ACOR,Acorda Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),nasdaq,0001008848
48,ACQRU,Independence Holdings Corp. Units,Finance,Business Services,nasdaq,0001837393
49,ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Major Pharmaceuticals,nasdaq,0001557746
